x,y
-3.2590367e-02,2.00000e+00,
-3.2580368e-02,2.00000e+00,
-3.2570370e-02,2.00000e+00,
-3.2560371e-02,2.00000e+00,
-3.2550372e-02,2.00000e+00,
-3.2540374e-02,2.00000e+00,
-3.2530375e-02,2.00000e+00,
-3.2520376e-02,2.00000e+00,
-3.2510377e-02,2.00000e+00,
-3.2500379e-02,2.00000e+00,
-3.2490380e-02,2.00000e+00,
-3.2480381e-02,2.00000e+00,
-3.2470383e-02,2.00000e+00,
-3.2460384e-02,2.00000e+00,
-3.2450385e-02,2.00000e+00,
-3.2440387e-02,2.00000e+00,
-3.2430388e-02,2.00000e+00,
-3.2420389e-02,2.00000e+00,
-3.2410391e-02,2.00000e+00,
-3.2400392e-02,2.00000e+00,
-3.2390393e-02,2.00000e+00,
-3.2380395e-02,2.00000e+00,
-3.2370396e-02,2.00000e+00,
-3.2360397e-02,2.00000e+00,
-3.2350399e-02,2.00000e+00,
-3.2340400e-02,2.00000e+00,
-3.2330401e-02,2.00000e+00,
-3.2320403e-02,2.00000e+00,
-3.2310404e-02,2.00000e+00,
-3.2300405e-02,2.00000e+00,
-3.2290407e-02,1.60000e+00,
-3.2280408e-02,2.00000e+00,
-3.2270409e-02,2.00000e+00,
-3.2260410e-02,2.00000e+00,
-3.2250412e-02,2.00000e+00,
-3.2240413e-02,2.00000e+00,
-3.2230414e-02,2.00000e+00,
-3.2220416e-02,2.00000e+00,
-3.2210417e-02,2.00000e+00,
-3.2200418e-02,2.00000e+00,
-3.2190420e-02,1.60000e+00,
-3.2180421e-02,2.00000e+00,
-3.2170422e-02,2.00000e+00,
-3.2160424e-02,2.00000e+00,
-3.2150425e-02,2.00000e+00,
-3.2140426e-02,2.00000e+00,
-3.2130428e-02,1.60000e+00,
-3.2120429e-02,2.00000e+00,
-3.2110430e-02,2.00000e+00,
-3.2100432e-02,2.00000e+00,
-3.2090433e-02,2.00000e+00,
-3.2080434e-02,2.00000e+00,
-3.2070436e-02,2.00000e+00,
-3.2060437e-02,2.00000e+00,
-3.2050438e-02,2.00000e+00,
-3.2040440e-02,2.00000e+00,
-3.2030441e-02,2.00000e+00,
-3.2020442e-02,2.00000e+00,
-3.2010444e-02,1.60000e+00,
-3.2000445e-02,1.60000e+00,
-3.1990446e-02,2.00000e+00,
-3.1980447e-02,2.00000e+00,
-3.1970449e-02,2.00000e+00,
-3.1960450e-02,2.00000e+00,
-3.1950451e-02,2.00000e+00,
-3.1940453e-02,1.60000e+00,
-3.1930454e-02,2.00000e+00,
-3.1920455e-02,2.00000e+00,
-3.1910457e-02,2.00000e+00,
-3.1900458e-02,2.00000e+00,
